Master Feature Matrix - CMMS System,Column 2,Column 1,Column 3,Column 4,Column 5,Column 6,Column 7,Column 8,Column 9,Column 10
1. Dashboard & Overview,,,,,,,,,,
Feature / Sub-feature,Technician,Store Keeper,Finance Manager,Operations Manager,Admin / System,Dispatcher / Scheduler,Inventory Management,Support/Service  Management,Supervisors,Procurement
Workorder status,✓,✓,✓,✓,,,,✓,✓,
Work order by priority,✓,✓,,✓,,,,,✓,
Maintenance Overview,,,,✓,,,,✓,✓,
Cost breakdowns,,,✓,✓,,,,,,
Vendor Delivery schedules,,,✓,✓,,,,✓,X,
Resource breakdown,,,,✓,,,,,,
View all task,,,,✓,,✓,,,✓,
Active jobs all tech,,,,✓,,✓,,✓,✓,
Overdue task,✓,,,✓,,✓,,✓,✓,
Daily/Weekly/Monthly views,,,✓,✓,,✓,,,✓,
KPI dashboard,✓,,✓,✓,,,,,,
2. Work Order Management,,,,,,,,,,
Feature / Sub-feature,Technician,Store Keeper,Finance Manager,Operations Manager,Admin / System,Dispatcher / Scheduler,Inventory Management,Incident Management,Supervisors,
All workorders,,✓,✓,✓,,✓,,,✓,
Work order information,✓,,✓,✓,,✓,,✓,✓,
Checklist per work order,✓,,,✓,,✓,,,✓,
Safety Checklist Confirmation,✓,,,✓,,✓,,,✓,
Emergency work Authorisation,,,,✓,,,,✓,✓,
Work order changes approval,,,✓,✓,,,,✓,✓,
Work orders from vendors approval,,,✓,✓,,,,,,
Review Completed work order,,,✓,✓,,✓,,,✓,
Partial Work Approval,,,✓,✓,,X,,,✓,
Rework Authorization,,,,✓,,X,,,✓,
Incident work order,,,✓,✓,,,,✓,✓,
3. Inventory & Stock,,,,,,,,,,
Feature / Sub-feature,Technician,Store Keeper,Finance Manager,Operations Manager,Admin / System,Dispatcher / Scheduler,Inventory Management,Incident Management,Supervisors,Supervisors
Min/Max Stock,,✓,,✓,,,,,,✓
Stock Transactions/Issuing and monitoring,,✓,,✓,,,,,,
Inventory Requests,X,✓,,✓,,,,,✓,✓
Spare Part Reservation,✓,✓,,✓,,,,,✓,✓
Material Requests,✓,✓,,✓,,✓,,,✓,✓
Asset request,✓,✓,,✓,,✓,,,✓,✓
Asset-to-inventory linking,✓,✓,,✓,,,,,✓,X
Stock damage Reporting,✓,✓,,✓,,,,✓,✓,✓
Inventory,,✓,,✓,,,✓,,✓,✓
Categories,,✓,,✓,,,,,,✓
Procurement,,,✓,✓,,,✓,,,✓
Emergency Procurement,,,✓,,,,✓,,,✓
Vendor pre-qualification,,,✓,✓,,,✓,,,✓
Contract Spend Tracking,,,✓,,,,✓,,,
4. Asset Management,,,,,,,,,,
Feature / Sub-feature,Technician,Store Keeper,Finance Manager,Operations Manager,Admin / System,Dispatcher / Scheduler,Inventory Management,Incident Management,Supervisors,
Scanning of Assets,✓,✓,,,,,,,✓,
Assets per work order,✓,✓,,✓,,,,,✓,
Asset Management,,,,✓,,,,,,
Reassign Asset,,✓,,✓,,✓,,,✓,
Asset Criticality Reclassification,,,,✓,,,,,✓,
5. Scheduling & Dispatch,,,,,,,,,,
Feature / Sub-feature,Technician,Store Keeper,Finance Manager,Operations Manager,Admin / System,Dispatcher / Scheduler,Inventory Management,Incident Management,Supervisors,
Schedules,✓,✓,,✓,,✓,,✓,✓,
Calendar view,✓,✓,,✓,,,,,✓,
SLA-aware scheduling,,,,✓,,✓,,,,
Task Scheduling,,,,✓,,✓,,✓,✓,
Real-Time Task rebalance,,,,✓,,✓,,,,
Technician Skill matching,,,,✓,,✓,,,✓,
Cancel Assigned work order,,,,✓,,✓,,,✓,
6. Client & SLA Management,,,,,,,,,,
Feature / Sub-feature,Technician,Store Keeper,Finance Manager,Operations Manager,Admin / System,Dispatcher / Scheduler,Inventory Management,Incident Management,Supervisors,
Rules per Client,,✓,,✓,,,,✓,✓,
Client onboarding,,,,✓,,,,,,
Client Max/Min material use per rule,,✓,,✓,,,,,,
Client Price book,,,✓,✓,,,,✓,✓,
SLA management,,,,✓,,,,,,
SLA Breach override,,,,✓,,,,✓,✓,
Penalty Handling,,,✓,✓,,,,,,
7. Vendor & Procurement,,,,,,,,,,
Feature / Sub-feature,Technician,Store Keeper,Finance Manager,Operations Manager,Admin / System,Dispatcher / Scheduler,Inventory Management,Incident Management,Supervisors,Procurement
Vendor Onboarding,,,,✓,,,,,,✓
Vendor SLA,,,,✓,,,,,,✓
Vendor price book,,,✓,✓,,,,,,✓
Vendor Performance Scoring,,,,✓,,,,,,✓
8. Finance & Cost Management,,,,,,,,,,
Feature / Sub-feature,Technician,Store Keeper,Finance Manager,Operations Manager,Admin / System,Dispatcher / Scheduler,Inventory Management,Incident Management,Supervisors,Procurement
Invoicing,,,✓,,,,,✓,✓,X
Payment management,,,✓,,,,,,,
Quotation,,,✓,,,,,✓,✓,X
Budget tracking,,,✓,,,,,✓,✓,X
Payment Tracking,,,✓,,,,,✓,✓,X
Account Reconciliation,,,✓,,,X,,,,
Cost Recovery,,,✓,,,,,,,
SLA Penalty Accounting,,,✓,,,,,,,
Purchase Request approval,,,,✓,,,,,,✓
9. Maintenance Management,,,,,,,,,,
Feature / Sub-feature,Technician,Store Keeper,Finance Manager,Operations Manager,Admin / System,Dispatcher / Scheduler,Inventory Management,Incident Management,Supervisors,
Preventive Maintenance,,,,✓,,,,,,
Corrective maintenance,,,,✓,,,,,,
Maintenance Request Approval,,,,✓,X,,,,,
10. Escalation & Issues,,,,,,,,,,
Feature / Sub-feature,Technician,Store Keeper,Finance Manager,Operations Manager,Admin / System,Dispatcher / Scheduler,Inventory Management,Support/Service  Management,Supervisors,
Issue escalation,✓,,X,,,,,,✓,
Work Stop Authority,✓,,,✓,,,,,✓,
Escalation request,,,,✓,,✓,,✓,✓,
Emergency Escalation,✓,✓,,✓,,✓,,✓,✓,
Issue Escalation (Dispatcher),,✓,,,,✓,,,✓,
11. Reporting & Analytics,,,,,,,,,,
Feature / Sub-feature,Technician,Store Keeper,Finance Manager,Operations Manager,Admin / System,Dispatcher / Scheduler,Inventory Management,Support/Service  Management,Supervisors,
Report and analytics,✓,✓,✓,✓,✓,,,,✓,
Work order Reporting,✓,,,✓,,,,,✓,
Incident Reporting (near Miss),✓,,,✓,,,,,✓,
Financial report,,,✓,,,,,,,
Regulatory Reporting,,,,✓,✓,,,,,
Audit Trail Freezing,,,,✓,✓,,,,,
Compliance,,✓,,✓,✓,,,,,
Certification Expiry Alerts,,,,✓,✓,,,,,
12. Performance & Team,,,,,,,,,,
Feature / Sub-feature,Technician,Store Keeper,Finance Manager,Operations Manager,Admin / System,Dispatcher / Scheduler,Inventory Management,Support/Service  Management,Supervisors,
Track Team performance,,,,✓,,✓,,,✓,
Performance Review,,,,✓,,✓,,,✓,
Team members Performance,✓,,,✓,,✓,,,✓,
Technician Certification Validation,,,,✓,,✓,,,✓,
Reporting and Performance,,,,✓,,✓,,,✓,
Average performance,✓,✓,,✓,,,,,✓,
All teams,✓,,,✓,,,,,,
13. User & System Management,,,,,,,,,,
Feature / Sub-feature,Technician,Store Keeper,Finance Manager,Operations Manager,Admin / System,Dispatcher / Scheduler,Inventory Management,Incident Management,Supervisors,
User management,,,,✓,✓,,,,,
Integrations,,,X,,✓,,,,,
Compliance Audit,,,,,✓,,,,,
Administrator,,,,,✓,,,,,
Audit log,,,,,✓,,,,,
Client-Specific Workflow Builder,,,,✓,✓,,,,,
Role Cloning per Client,,,,✓,✓,,,,,
14. Support & Incident,,,,,,,,,,
Feature / Sub-feature,Technician,Store Keeper,Finance Manager,Operations Manager,Admin / System,Dispatcher / Scheduler,Inventory Management,Support/Service  Management,Supervisors,
Incident management,,,,✓,,,,✓,✓,
Support Service,,,,,,,,✓,✓,
15. Tools & Utilities,,,,,,,,,,
Feature / Sub-feature,Technician,Store Keeper,Finance Manager,Operations Manager,Admin / System,Dispatcher / Scheduler,Inventory Management,Incident Management,Supervisors,
Scanner,✓,✓,,,,,✓,,✓,
Workorder (Tool),,X,,✓,,,,,,
16. Settings & Profile,,,,,,,,,,
Feature / Sub-feature,Technician,Store Keeper,Finance Manager,Operations Manager,Admin / System,Dispatcher / Scheduler,Inventory Management,Incident Management,Supervisors,
Profile,✓,✓,✓,✓,✓,✓,✓,✓,✓,
Setting,✓,✓,✓,✓,✓,✓,✓,✓,✓,
Notifications,✓,✓,✓,✓,✓,✓,✓,✓,✓,
Help & Setting,✓,✓,✓,✓,✓,✓,✓,✓,✓,